"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "Vue", "YAML", "XML", "SCSS", "comment", "blank", "total"
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\logininfor\index.vue", "Vue", 0, 0, 0, 0, 197, 0, 0, 0, 17, 7, 221
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\menu\index.vue", "Vue", 0, 0, 0, 0, 361, 0, 0, 0, 25, 6, 392
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\notice\index.vue", "Vue", 0, 0, 0, 0, 285, 0, 0, 0, 23, 7, 315
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\operlog\index.vue", "Vue", 0, 0, 0, 0, 280, 0, 0, 0, 22, 8, 310
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\post\index.vue", "Vue", 0, 0, 0, 0, 281, 0, 0, 0, 24, 6, 311
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\role\authUser.vue", "Vue", 0, 0, 0, 0, 181, 0, 0, 0, 15, 5, 201
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\role\index.vue", "Vue", 0, 0, 0, 0, 562, 0, 0, 0, 50, 8, 620
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\role\selectUser.vue", "Vue", 0, 0, 0, 0, 122, 0, 0, 0, 13, 2, 137
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\user\authRole.vue", "Vue", 0, 0, 0, 0, 102, 0, 0, 0, 10, 5, 117
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\user\index.vue", "Vue", 0, 0, 0, 0, 615, 0, 0, 0, 54, 7, 676
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\user\profile\index.vue", "Vue", 0, 0, 0, 0, 89, 0, 0, 0, 0, 3, 92
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\user\profile\resetPwd.vue", "Vue", 0, 0, 0, 0, 69, 0, 0, 0, 1, 3, 73
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\user\profile\userAvatar.vue", "Vue", 0, 0, 0, 0, 156, 0, 0, 0, 13, 3, 172
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\system\user\profile\userInfo.vue", "Vue", 0, 0, 0, 0, 73, 0, 0, 0, 1, 3, 77
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tdengine\shadow\detail.vue", "Vue", 0, 0, 0, 0, 185, 0, 0, 0, 22, 2, 209
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tdengine\shadow\guanfu.vue", "Vue", 0, 0, 0, 0, 330, 0, 0, 0, 34, 4, 368
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tdengine\shadow\index.vue", "Vue", 0, 0, 0, 0, 160, 0, 0, 0, 14, 2, 176
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tdengine\shadow\lemp.vue", "Vue", 0, 0, 0, 0, 311, 0, 0, 0, 34, 5, 350
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\build\CodeTypeDialog.vue", "Vue", 0, 0, 0, 0, 105, 0, 0, 0, 0, 2, 107
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\build\DraggableItem.vue", "Vue", 0, 0, 0, 0, 95, 0, 0, 0, 0, 6, 101
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\build\IconsDialog.vue", "Vue", 0, 0, 0, 0, 121, 0, 0, 0, 0, 3, 124
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\build\RightPanel.vue", "Vue", 0, 0, 0, 0, 166, 0, 0, 0, 687, 0, 853
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\build\TreeNodeDialog.vue", "Vue", 0, 0, 0, 0, 147, 0, 0, 0, 1, 2, 150
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\build\index.vue", "Vue", 0, 0, 0, 0, 770, 0, 0, 0, 4, 21, 795
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\gen\basicInfoForm.vue", "Vue", 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 62
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\gen\editTable.vue", "Vue", 0, 0, 0, 0, 218, 0, 0, 0, 12, 3, 233
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\gen\genInfoForm.vue", "Vue", 0, 0, 0, 0, 287, 0, 0, 0, 4, 10, 301
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\gen\importTable.vue", "Vue", 0, 0, 0, 0, 109, 0, 0, 0, 12, 2, 123
"d:\work\workspace\thinglinks\thinglinks-ui\src\views\tool\gen\index.vue", "Vue", 0, 0, 0, 0, 306, 0, 0, 0, 24, 5, 335
"d:\work\workspace\thinglinks\thinglinks-ui\vue.config.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 15, 7, 126
"Total", "-", 4989, 98, 21, 391, 23301, 5, 203, 836, 3165, 1625, 34634
